Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,image_url
She Make It Clap,She Make It Clap,Soulja Boy,2021-03-12,TCAFL2178806,"4,452",19.8,"87,813,373","35,497","4,333,964",51.0,"22,158,547","645,841","1,908,028","389,171,513","3,050,656,195","1,075,513",15.0,"11,520",147,1.0,458,3.0,"11,767,557","7,464","3,340,704","571,513",0.0,1,https://i.scdn.co/image/ab67616d0000b27307049eb0e5309d1dcdef1599
Who I Am,Who I Am,Alan Walker,2024-01-04,NOG842302010,"4,428",19.8,"36,474,848","4,573","5,104,611",0.0,"42,037,284","1,045,695",0,0,0,"1,165,121,025",5.0,"2,837",0,0.0,0,0.0,0,0,0,"153,003",0.0,0,https://i.scdn.co/image/ab67616d0000b2737b56b05b24e2b374c19d13d3
Nature Sounds with Music: Inspiring Thunder and Rain with Relaxing Music,Nature Sounds with Music: Inspiring Thunder and Rain with Relaxing Music,Jamie Llewellyn,2013-12-27,QMBZ91375750,"4,438",19.8,"240,712",0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,"1,759,451","1,996,608",0,0,0.0,0,https://i.scdn.co/image/ab67616d0000b27389082b0a4f9b6b680c68b201
"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","Illegal Weapon 2.0 (From ""Street Dancer 3D"")",Jasmine Sandlas,2020-01-04,INS182000006,"4,434",19.8,"173,193,166","12,129","7,879,651",60.0,"643,258,603","3,362,426","54,100","5,386,841","57,212,956","28,907,695",13.0,"1,288",0,0.0,0,4.0,0,0,0,"259,241",0.0,0,https://i.scdn.co/image/ab67616d0000b273b9c46d2b8d5604c33cc578b7
02.02.99,02.02.99,That Mexican OT,2024-01-09,USUG12310194,"4,439",19.8,"38,388,843","6,814","16,579,754",0.0,"25,838,329","341,078",0,0,0,"213,315,892",3.0,68,107,0.0,0,2.0,"3,150,471","1,341",0,"226,812",0.0,1,https://i.scdn.co/image/ab67616d0000b2731e486934cf878a270cd5775a
A LA ORDEN,A LA ORDEN - Single,Santa Fe Klan,2024-05-23,QM6N22481184,"4,437",19.8,"4,453,194",287,"4,319,515",64.0,"9,104,356","198,623",0,0,0,"125,856,157",1.0,2,0,2.0,"92,435",0.0,"17,261",116,0,"17,457",0.0,1,https://i.scdn.co/image/ab67616d0000b27384bb40a426f46de067313d1f
Speechless (Full),Aladdin (Original Motion Picture Soundtrack),Naomi Scott,2019-05-22,USWD11993077,"4,432",19.8,"304,588,030","27,312","13,626,506",63.0,"536,055,555","5,342,216","16,993","4,437,120","48,485,307","46,694,866",41.0,"6,750",184,3.0,"12,065",13.0,"35,919,515","86,599",0,"661,261",0.0,0,https://i.scdn.co/image/ab67616d0000b2739986d69836eac008a927b032
Big Gangsta,Big Gangsta,Kevin Gates,2019-05-17,USAT21902781,"4,454",19.8,"199,248,929","60,481","4,931,520",56.0,"261,079,023","2,146,409","609,586","85,181,373","713,540,521","791,982",8.0,2,0,6.0,"6,125",1.0,"106,702,648","61,855",0,"1,423,575",0.0,1,https://i.scdn.co/image/ab67616d0000b273f8a9c2fe71ac2eb53524392b
Renegades,Renegades,X Ambassadors,2015-03-17,USUM71502643,"4,445",19.8,"785,571,181","131,703","26,404,041",70.0,"492,974,141","3,162,813","36,859","9,348,443","74,904,030","17,622,437",96.0,"89,938",279,30.0,"100,159",22.0,0,0,0,"9,672,381",0.0,0,https://i.scdn.co/image/ab67616d0000b27352e8aa3275f7a3ee9c1e3628
Snow (Hey Oh),Stadium Arcadium (U.S. Version),Red Hot Chili Peppers,2006-05-09,USWB10601591,"4,442",19.8,"1,070,374,387","203,821","38,556,891",74.0,"710,124,074","3,609,104","506,663","44,842,411","835,564,684","31,925,912",22.0,31,31,56.0,"784,912",26.0,"667,293,971","198,268","3,089,649",0,0.0,0,https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517
